bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,3.0,Mesa,USA,USD,1737878400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3b0ad372d1d46d2a04862bb36e56c5dd-p_e.jpg,False,True,False,False,False,False,False,33.399002,{'is_FSBA': True},1300.0,-111.598434,sqft,8812.0,,,,469900.0,-10000,469900.0,"$10,000 (Jan 26)",,False,AZ,857 S Del Rancho,349000.0,4046247000,,,85208,8089356
3.0,4.0,Mesa,USA,USD,1738224000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7537700cdddc6e48bdbc58a8eccd4d5c-p_e.jpg,False,True,False,False,False,False,False,33.42038,{'is_FSBA': True},2415.0,-111.70809,sqft,2597.0,,,,465000.0,-15000,465000.0,"$15,000 (Jan 30)",,False,AZ,242 N Sandal,413300.0,7851695000,,,85205,240311692
3.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/98affdc7150807299785bad22aabd1ba-p_e.jpg,False,True,False,False,False,False,False,33.46317,{'is_FSBA': True},1605.0,-111.67468,sqft,4009.0,,,,450000.0,,450000.0,,,False,AZ,7235 E Norwood St,372200.0,631712000,,,85207,55269796
3.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e5e6630459c8df6c98a3a808bfc9041c-p_e.jpg,False,True,False,False,False,False,False,33.32814,{'is_FSBA': True},1947.0,-111.61952,sqft,2796.0,,,,500000.0,,500000.0,,,False,AZ,4845 S Ferric,445800.0,7751421000,,,85212,442595736
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cffe51845916e64ed1da16fa8268b63a-p_e.jpg,False,True,False,False,False,False,False,33.363525,{'is_FSBA': True},1456.0,-111.61628,sqft,5500.0,,,,490000.0,,490000.0,,,False,AZ,10103 E Olla Ave,385800.0,2994389000,,,85212,32906882
2.0,4.0,Mesa,USA,USD,1732953600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/361f447b16ba21492a71c4421f52692d-p_e.jpg,False,True,False,False,False,False,False,33.446617,{'is_FSBA': True},1731.0,-111.849556,sqft,8973.0,,,,474900.0,-4100,474900.0,"$4,100 (Nov 30)",,False,AZ,1737 N Trevor,366300.0,8582589000,,,85201,7605764
2.0,4.0,Mesa,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b55d5d9d8204adec06fc0beb910ec970-p_e.jpg,False,True,False,False,False,False,False,33.359085,{'is_newHome': True},1712.0,-111.68686,sqft,3500.0,BUILDER_SPEC,,,459000.0,-10000,459000.0,"$10,000 (Jan 23)",,False,AZ,3114 S Sunrise Ave,410000.0,6051658000,,,85212,157728122
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5a8b6f44e349ffc9c6b18e743949bc42-p_e.jpg,False,True,False,False,False,False,False,33.436287,{'is_FSBA': True},1478.0,-111.70491,sqft,8724.0,,,,470000.0,,470000.0,,,False,AZ,5838 E Fox Cir,389300.0,8293332000,,,85205,7673145
2.0,4.0,Mesa,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28d5996157203b441525a24fb314ad20-p_e.jpg,False,True,False,False,False,False,False,33.380764,"{'is_FSBA': True, 'is_openHouse': True}",1764.0,-111.78174,sqft,7811.0,,Thu. 8am-7pm,"{'open_house_showing': [{'open_house_end': 1739502000000, 'open_house_start': 1739462400000}, {'open_house_end': 1739588400000, 'open_house_start': 1739548800000}, {'open_house_end': 1739674800000, 'open_house_start': 1739635200000}, {'open_house_end': 1739761200000, 'open_house_start': 1739721600000}, {'open_house_end': 1739847600000, 'open_house_start': 1739808000000}, {'open_house_end': 1739934000000, 'open_house_start': 1739894400000}, {'open_house_end': 1740020400000, 'open_house_start': 1739980800000}, {'open_house_end': 1740106800000, 'open_house_start': 1740067200000}, {'open_house_end': 1740193200000, 'open_house_start': 1740153600000}]}",452000.0,-7000,452000.0,"$7,000 (Jan 23)",,False,AZ,2411 E Javelina Ave,385500.0,12212615000,,,85204,7653099
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b30170e15e618184398524339525b3b3-p_e.jpg,False,True,False,False,False,False,False,33.425297,{'is_FSBA': True},1512.0,-111.766914,sqft,7270.0,,,,475000.0,,475000.0,,,False,AZ,2958 E Contessa St,335300.0,504985000,,,85213,7636812
2.0,4.0,Mesa,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/184c75ba0c9285c98325f878bd90a8ec-p_e.jpg,False,True,False,False,False,False,False,33.35398,{'is_FSBA': True},2288.0,-111.58488,sqft,8119.0,,,,489000.0,-10000,489000.0,"$10,000 (Feb 4)",,False,AZ,11533 E Pratt Ave,453700.0,10182983000,,,85212,52432996
2.0,3.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f896407514077040c4bc704e515f1822-p_e.jpg,False,True,False,False,False,False,False,33.426445,{'is_FSBA': True},1904.0,-111.79145,sqft,8583.0,,,,499000.0,,499000.0,,,False,AZ,1829 E Decatur St,387100.0,8346985000,,,85203,7618836
2.0,4.0,Mesa,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/465ed75a80c58a28abf2e69c641f48f6-p_e.jpg,False,True,False,False,False,False,False,33.405464,{'is_FSBA': True},1601.0,-111.80723,acres,0.25899908172635444,,,,469900.0,,469900.0,,,False,AZ,523 S Spencer,321500.0,1162556000,,,85204,7630251
