bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
1.0,2.0,Englewood,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e6e3373ccbc2b6d699a2449e3d5505ea-p_e.jpg,False,True,False,False,False,False,False,39.65723,{'is_FSBA': True},1474.0,-104.97315,sqft,6186.0,500000.0,500000.0,,False,CO,3280 S Downing Street,497000.0,1196099000,,80113,13030961
1.0,2.0,Englewood,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2d19705aa59c6efa8d43d613cf7f601b-p_e.jpg,False,True,False,False,False,False,False,39.639618,{'is_FSBA': True},768.0,-104.98335,sqft,6098.0,460000.0,460000.0,,False,CO,4225 S Logan Street,484600.0,2473180000,,80113,13144382
1.0,1.0,Englewood,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69526c14968767bf8dfc0c9186ba34fb-p_e.jpg,False,True,False,False,False,False,False,39.664204,{'is_FSBA': True},694.0,-104.991486,sqft,5754.0,495000.0,495000.0,1584,False,CO,2891 S Cherokee,391900.0,45249897000,401800,80110,13029111
