bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,3.0,Minneapolis,USA,USD,1725606000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a495dc3677e075512aff17819ed42530-p_e.jpg,False,True,False,False,False,False,False,44.946564,{'is_FSBA': True},2712.0,-93.29397,sqft,5662.8,,,475000.0,-15000,475000.0,,3033,False,MN,1115 W 31st St,451000.0,29100280000,,,,55408,1717194
2.0,3.0,Minneapolis,USA,USD,1737964800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f73cae947341927b5cbf4088f51bdf0-p_e.jpg,False,True,False,False,False,False,False,44.945995,{'is_FSBA': True},2661.0,-93.28521,sqft,5662.8,,,465000.0,-10000,465000.0,"$10,000 (Jan 27)",2215,False,MN,3115 Harriet Ave,523000.0,3860743000,,,460700,55408,1711284
2.0,2.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d3ff01ae9ca0da16d4c80385bc9add30-p_e.jpg,False,True,False,False,False,False,False,44.987617,{'is_FSBA': True},1256.0,-93.27613,sqft,0.0,,,475000.0,,475000.0,,3234,False,MN,618 Washington Ave N SUITE 406,480000.0,7925542000,Suite 406,,473400,55401,88841473
2.0,2.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/45afa83db6213d35485bb9910871f6b2-p_e.jpg,False,True,False,False,False,False,False,44.94466,{'is_FSBA': True},1550.0,-93.32036,,,,,475000.0,,475000.0,,2748,False,MN,3200 W Bde Maka Ska Pkwy #202,632000.0,3447080000,# 202,,488000,55416,1726349
2.0,1.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/69127d0e73932050016828a34d9a888e-p_e.jpg,False,True,False,False,False,False,False,44.98173,{'is_FSBA': True},1114.0,-93.262886,acres,0.9400000000000001,,,499900.0,,499900.0,,2212,False,MN,100 3rd Ave S UNIT 1806,503000.0,1449372000,Unit 1806,1,495200,55401,82641723
3.0,3.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/41d4fbe01fee41ae26d925e3528d88d1-p_e.jpg,False,True,False,False,False,False,False,44.990402,{'is_FSBA': True},2024.0,-93.258606,sqft,871.2,,,494000.0,,494000.0,,2898,False,MN,230 3rd Ave NE,381000.0,6024774000,,,492500,55413,1913521
2.0,2.0,Minneapolis,USA,USD,1738742400000,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/37e38ba3cd507c43263608c0919d3473-p_e.jpg,False,True,False,False,False,False,False,44.977177,{'is_FSBA': True},1422.0,-93.25963,acres,0.64,,,499900.0,-30000,499900.0,"$30,000 (Feb 5)",2498,False,MN,250 Park Ave UNIT 714,385000.0,16562996000,Unit 714,,494400,55415,71814802
4.0,8.0,Minneapolis,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/6a75af19dea6705fb37dbba19a2e21fd-p_e.jpg,False,True,False,False,False,False,False,44.933846,{'is_FSBA': True},3456.0,-93.25163,sqft,6098.4,,,460000.0,-10000,460000.0,"$10,000 (Jan 29)",1788,False,MN,1537 E 38th St,372000.0,3862854000,,,,55407,132578528
3.0,5.0,Minneapolis,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/8c49877a72e5fffc18900810f85ef30a-p_e.jpg,False,True,False,False,False,False,False,44.96221,"{'is_FSBA': True, 'is_openHouse': True}",2609.0,-93.23667,sqft,7132.0,Sat. 10-11:30am,"{'open_house_showing': [{'open_house_end': 1739647800000, 'open_house_start': 1739642400000}]}",485000.0,-14500,485000.0,"$14,500 (Jan 29)",,False,MN,2010 25th Ave S,381000.0,9296262000,,,,55406,2022553
3.0,4.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/9a47dc0a42ccd174ccd1557fdb2028f1-p_e.jpg,False,True,False,False,False,False,False,45.00565,{'is_FSBA': True},2188.0,-93.29301,sqft,8276.4,,,489000.0,,489000.0,,,False,MN,2523 Dupont Ave N,324000.0,9642747000,,,,55411,1838661
3.0,3.0,Minneapolis,USA,USD,1728370800000,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/707fd709ffd0c0a502838473b795b9e3-p_e.jpg,False,True,False,False,False,False,False,44.970097,{'is_FSBA': True},2268.0,-93.26743,acres,1.37,,,499000.0,-48500,499000.0,,2918,False,MN,1024 Portland Ave,456000.0,22011321000,,,,55404,62787056
2.0,2.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/7df296e0c63bfc86471dd07297449312-p_e.jpg,False,True,False,False,False,False,False,44.917515,{'is_FSBA': True},1077.0,-93.21328,acres,0.41,,,499900.0,,499900.0,,,False,MN,4745 Minnehaha Ave #203,433000.0,586531000,# 203,,498400,55406,440967627
1.0,1.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/6494f0f7f40a7cff5c592ef2a13fa0df-p_e.jpg,False,True,False,False,False,False,False,44.98128,{'is_FSBA': True},1024.0,-93.2632,sqft,0.0,,,479900.0,,479900.0,,2114,False,MN,100 3rd Ave S UNIT 808,408000.0,475833000,Unit 808,,471900,55401,82643581
2.0,2.0,Minneapolis,USA,USD,,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/a5c7fd1c6fb5ba4255559f0899ffbb60-p_e.jpg,False,True,False,False,False,False,False,44.983425,{'is_FSBA': True},1260.0,-93.24867,acres,0.75,,,479900.0,,479900.0,,,False,MN,521 2nd St SE APT 202,384000.0,12085773000,Apt 202,,,55414,88833071
