bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
3.0,3.0,Loveland,USA,USD,1738137600000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/62e412c9a3989d5d1bef350c0e831e57-p_e.jpg,False,True,False,False,,False,False,False,40.41964,"{'is_FSBA': True, 'is_openHouse': True}",1539.0,-104.98113,sqft,4310.0,,Sun. 12-2pm,"{'open_house_showing': [{'open_house_end': 1739743200000, 'open_house_start': 1739736000000}]}",465000.0,-10000,465000.0,"$10,000 (Jan 29)",,,,False,CO,6256 Wild Rye St,,3013931000,,,80538,2060775526
2.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4dd4bfeb8accd6373d156521763f4d61-p_e.jpg,False,True,False,False,,False,False,False,40.394302,"{'is_FSBA': True, 'is_openHouse': True}",1606.0,-105.03499,sqft,6080.0,,Sat. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}]}",494990.0,,494990.0,,,,2341,False,CO,3013 Crux Drive,463800.0,1685350000,,495200,80537,121818939
3.0,5.0,Loveland,USA,USD,1732780800000,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bb98227db06fad3a8406d786ab5f18b5-p_e.jpg,False,True,False,False,,False,False,False,40.374195,{'is_FSBA': True},2743.0,-105.09241,sqft,9501.0,,,,499000.0,-16000,499000.0,"$16,000 (Nov 28)",,,2811,False,CO,1016 Deborah Drive,507900.0,8701279000,,496400,80537,13891658
2.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6646037faee0e4f7be4b8977b41b939a-p_e.jpg,False,True,False,False,,False,False,False,40.44106,"{'is_newHome': True, 'is_openHouse': True}",1529.0,-105.11764,sqft,4888.0,BUILDER_SPEC,Sat. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}, {'open_house_end': 1739743200000, 'open_house_start': 1739732400000}]}",499100.0,,499100.0,,,,,False,CO,4741 Whistler Dr,,1779629000,,,80538,446081732
3.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b03e9d9d3d9aac178ba9f6e01cd4d956-p_e.jpg,False,True,False,False,,False,False,False,40.4414,"{'is_newHome': True, 'is_openHouse': True}",1603.0,-105.11764,sqft,5493.0,BUILDER_SPEC,Sat. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}, {'open_house_end': 1739743200000, 'open_house_start': 1739732400000}]}",499990.0,,499990.0,,,,,False,CO,4777 Whistler Dr,,4116860000,,,80538,443634684
3.0,2.0,Loveland,USA,USD,1733212800000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/66cf6bbc88b1492dc4b0ba4b41ed832d-p_e.jpg,False,True,False,True,,False,False,False,40.42084,{'is_newHome': True},1846.0,-104.98215,,,BUILDER_PLAN,,,489990.0,20000,489990.0,,+,30255295,,False,CO,"Trackman Plan, Kinston Mainstreet Townhomes",,2295496000,# C1WV46,488600,80538,443570764
3.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6ae59dd864307de9d78c4310bfd560d7-p_e.jpg,False,True,False,True,,False,False,False,40.42139,{'is_newHome': True},1680.0,-104.982475,,,BUILDER_SPEC,,,468990.0,,468990.0,,,30255295,,False,CO,6354 Deerfoot Dr,,4214262000,,468400,80538,443621103
3.0,3.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/19170f428b48a3fff82400fdea6b4425-p_e.jpg,False,True,False,True,,False,False,False,40.421364,{'is_newHome': True},1752.0,-104.983185,,,BUILDER_SPEC,,,473990.0,,473990.0,,,30255295,,False,CO,6341 Elk Pass Ln,,5495737000,,473100,80538,443285460
3.0,3.0,Loveland,USA,USD,1733212800000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/beaa8787b6da00e3aa65755ee659abaf-p_e.jpg,False,True,False,True,,False,False,False,40.42084,{'is_newHome': True},1680.0,-104.98215,,,BUILDER_PLAN,,,454990.0,35000,454990.0,,+,30255295,,False,CO,"Larimer Plan, Kinston Mainstreet Townhomes",,1876235000,# AOJLQ0,454500,80538,443570809
3.0,4.0,Loveland,USA,USD,,-1,,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e46f5770441f91129941db933326ae3-p_e.jpg,False,True,False,False,True,False,False,False,40.378616,{'is_forAuction': True},1912.0,-105.107376,sqft,8712.0,,,,0.0,,0.0,,,,2356,False,CO,1853 14th St SW,378900.0,4045759000,,465600,80537,13890496
