city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zipcode,zpid
Louisville,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/c6b98bb5682b45538fd0f244d819ff80-p_e.jpg,False,True,False,False,False,False,False,39.9544,{'is_FSBA': True},-105.15199,sqft,7113.0,450000.0,,450000.0,,False,CO,945 Saint Andrews Lane,429300.0,236105000,80027,13243665
Louisville,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/d172d8f53974a288f526956bb1a388be-p_e.jpg,False,True,False,False,False,False,False,39.97651,{'is_FSBA': True},-105.16619,acres,0.37247474747474746,490000.0,,490000.0,,False,CO,1101 W Enclave Cir,637100.0,50850000,80027,13241536
Louisville,USA,USD,1736236800000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/ca555f5f63f09f9d9a6f0d2aef78d338-p_e.jpg,False,True,False,False,False,False,False,39.97522,{'is_FSBA': True},-105.13121,sqft,3800.0,450000.0,-109000,450000.0,"$109,000 (Jan 7)",False,CO,549 Parbois Ln,277350.0,19948383000,80027,109688209
