bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,3.0,Lafayette,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97efd38fc7260e2a085bad369b68e2be-p_e.jpg,False,True,False,False,,False,False,False,39.98837,{'is_FSBA': True},1440.0,-105.08193,sqft,7405.0,480000.0,-10000,480000.0,"$10,000 (Jan 23)",2737,False,CO,1055 Malory St,505200.0,9059089000,478200,80026,13221059
0.0,0.0,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/08fddb73325a5d516dad5bdccbc70c96-p_e.jpg,False,True,False,False,True,False,False,False,39.99922,{'is_forAuction': True},0.0,-105.102135,acres,0.4,495000.0,,495000.0,,,False,CO,200 S Highway 287,,237575000,,80026,447178280
,,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/1c88bd2691f8dcd2a54c20cf5dcebe30-p_e.jpg,False,True,False,False,,False,False,False,39.97711,{'is_FSBA': True},,-105.067795,acres,2.0117,450000.0,,450000.0,,,False,CO,0 S 120th St,,12067263000,,80026,2120126843
,,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/38eb024422f25e7cbd3890dfaa536e2c-p_e.jpg,False,True,False,False,,False,False,False,39.999657,{'is_FSBA': True},,-105.12161,acres,0.2830808080808081,495000.0,,495000.0,,,False,CO,2325 Glacier Ct,302556.0,25728525000,,80026,296358733
,,Lafayette,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/83204abcb01dae3e77c0fe2d175208df-p_e.jpg,False,True,False,False,,False,False,False,40.009644,{'is_FSBA': True},,-105.11097,sqft,7290.0,450000.0,,450000.0,,,False,CO,805 Sanitas Ln,,70900292000,,80026,2060709154
