bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceForHDP,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zipcode,zpid
3.0,4.0,Bloomington,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/034eb1e768946f655a84af5af52f7a0e-p_e.jpg,False,True,False,False,False,False,False,44.852547,{'is_FSBA': True},2792.0,-93.32384,acres,0.31,,,475000.0,475000.0,False,MN,8333 Beard Rd,431400.0,699782000,55431,1724989
3.0,3.0,Minneapolis,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/db824dd0d97fbd308ae58ebbc1709432-p_e.jpg,False,True,False,False,False,False,False,44.824512,"{'is_FSBA': True, 'is_openHouse': True}",4344.0,-93.318375,acres,0.31,Sun. 12-2pm,"{'open_house_showing': [{'open_house_end': 1739138400000, 'open_house_start': 1739131200000}]}",454900.0,454900.0,False,MN,9904 Xerxes Curv S,,203878000,55431,443834457
2.0,4.0,Bloomington,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9ef65c7ba4fe9c45b03eb046a638ffcd-p_e.jpg,False,True,False,False,False,False,False,44.811577,{'is_FSBA': True},3072.0,-93.29567,acres,0.33999999999999997,,,500000.0,500000.0,False,MN,1211 W 106th St,340800.0,5964330000,55431,1894959
