bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8025bca48296a232a69e00606f601d14-p_e.jpg,False,True,False,False,False,False,False,33.65537,{'is_FSBA': True},1776.0,-112.024994,acres,0.27706611570247935,,,475000.0,,475000.0,,,False,AZ,2636 E Union Hills Dr,427300.0,1032616000,,,85050,59266620
1.0,2.0,Phoenix,USA,USD,1739088000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/68de23f4474b8d864d884e1df65c5a32-p_e.jpg,False,True,False,False,False,False,False,33.47454,{'is_FSBA': True},1053.0,-112.049255,sqft,5698.0,,,485000.0,-14000,485000.0,"$14,000 (Feb 9)",,False,AZ,1513 E Sheridan St,344100.0,14061002000,,,85006,7532512
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/613f662deffe63be51ab56b26b36c44a-p_e.jpg,False,True,False,False,True,False,False,33.62003,{'is_FSBA': True},1204.0,-112.00861,acres,0.25098714416896234,,,469900.0,,469900.0,,,False,AZ,3410 E Everett Dr,352300.0,704428000,,,85032,8012043
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b18d59e144c37bab67c40e6ec25285b8-p_e.jpg,False,True,False,False,False,False,False,33.669926,{'is_FSBA': True},1564.0,-112.01325,sqft,6100.0,,,499900.0,,499900.0,,,False,AZ,20206 N 32nd Pl,459100.0,3777249000,,,85050,7992004
1.0,2.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5098894bfb25adde5a69aa34e8b1a044-p_e.jpg,False,True,False,False,False,False,False,33.49384,{'is_FSBA': True},1008.0,-112.04516,sqft,10025.0,,,499900.0,,499900.0,,,False,AZ,1696 E Amelia Ave,346200.0,1262640000,,,85016,7540487
2.0,3.0,Phoenix,USA,USD,1738656000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b11270ad1370359003871ff830feab07-p_e.jpg,False,True,False,False,False,False,False,33.654686,{'is_FSBA': True},1496.0,-111.98551,sqft,4489.0,,,478000.0,-7000,478000.0,"$7,000 (Feb 4)",,False,AZ,4407 E Villa Theresa Dr,421100.0,3655674000,,,85032,8017198
2.0,4.0,Phoenix,USA,USD,1738915200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9ecfe1b193a1160980821a21c99d3567-p_e.jpg,False,True,False,False,False,False,False,33.656925,{'is_FSBA': True},2049.0,-112.09123,sqft,8248.0,,,474999.0,-1,474999.0,$1 (Feb 7),,False,AZ,1443 W Morrow Dr,354200.0,3767639000,1,,85027,7969034
2.0,3.0,Phoenix,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fe2762d45a285e310f842e5af6e1e16b-p_e.jpg,False,True,False,False,False,False,False,33.601665,"{'is_FSBA': True, 'is_openHouse': True}",1792.0,-112.1507,sqft,9738.0,Sun. 12-3pm,"{'open_house_showing': [{'open_house_end': 1739746800000, 'open_house_start': 1739736000000}]}",480000.0,-10000,480000.0,"$10,000 (Jan 29)",,False,AZ,12660 N 42nd Dr,339700.0,2335825000,,,85029,7742239
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6e614a05cca7a3b7219a45f6eae9bdd6-p_e.jpg,False,True,False,False,False,False,False,33.360657,{'is_FSBA': True},1353.0,-111.98004,sqft,4609.0,,,450000.0,,450000.0,,,False,AZ,4607 E Piedmont Rd,378700.0,2840847000,,,85044,8258994
3.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/39f8fa1d9a44760c6d9cb56a61c9dec6-p_e.jpg,False,True,False,False,False,False,False,33.65122,{'is_FSBA': True},1689.0,-112.08789,sqft,4750.0,,,475000.0,,475000.0,,,False,AZ,18204 N 11th Dr,360200.0,2983714000,,,85023,7957061
2.0,3.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ad04a492f2daa72949b5c353134f4b78-p_e.jpg,False,True,False,False,False,False,False,33.711166,{'is_FSBA': True},1519.0,-112.13586,sqft,4950.0,,,460000.0,,460000.0,,,False,AZ,3519 W Fallen Leaf Ln,366000.0,1309212000,,,85310,7932548
2.0,3.0,Phoenix,USA,USD,1739088000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/926afe203a4c52934e00d9826f153ba3-p_e.jpg,False,True,False,False,False,False,False,33.53799,{'is_FSBA': True},1906.0,-112.04838,sqft,9901.0,,,499000.0,-26000,499000.0,"$26,000 (Feb 9)",,False,AZ,6850 N 15th Pl,495700.0,3005328000,,,85014,7795889
2.0,3.0,Phoenix,USA,USD,1737446400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/396e77e6d0193719add8e65c50473714-p_e.jpg,False,True,False,False,False,False,False,33.587963,{'is_FSBA': True},2463.0,-112.13908,acres,0.25440771349862257,,,470000.0,-4999,470000.0,"$4,999 (Jan 21)",,False,AZ,11211 N 37th Dr,418000.0,4346899000,,,85029,7743884
2.0,4.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1b0afecb38610ce589aadfde26a25a8b-p_e.jpg,False,True,False,False,False,False,False,33.655956,{'is_FSBA': True},1866.0,-112.16767,sqft,6494.0,,,465000.0,,465000.0,,,False,AZ,4938 W Julie Dr,364200.0,416473000,,,85308,7939658
3.0,3.0,Phoenix,USA,USD,1738483200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/243580fdeb2b1f88e63b780dd51c3361-p_e.jpg,False,True,False,False,False,False,False,33.3975,{'is_FSBA': True},2154.0,-112.03507,sqft,6883.0,,,499800.0,-100,499800.0,$100 (Feb 2),2541,False,AZ,2133 E La Salle St,431500.0,2935736000,,499000,85040,67789866
3.0,4.0,Phoenix,USA,USD,1737792000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c6044b01a08282c3f7c23effda4fb4b7-p_e.jpg,False,True,False,False,False,False,False,33.500877,{'is_FSBA': True},2509.0,-112.29721,sqft,7200.0,,,450000.0,-20000,450000.0,"$20,000 (Jan 25)",,False,AZ,11116 W Campbell Ave,370600.0,18893589000,,,85037,71619215
2.0,4.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fde174b77e4f762a74b7bec362294a86-p_e.jpg,False,True,False,False,False,False,False,33.635525,{'is_FSBA': True},1857.0,-112.15972,sqft,8029.0,,,485900.0,,485900.0,,,False,AZ,16437 N 47th Ave,373200.0,586288000,,,85306,7950778
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f040b7c0ccc291ae42c171a4ef8e74a-p_e.jpg,False,True,False,False,False,False,False,33.63748,{'is_FSBA': True},1988.0,-112.1383,sqft,10811.0,,,474000.0,,474000.0,,,False,AZ,3632 W Kelton Ln,384500.0,419496000,1,,85053,7946163
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2ea2531228a39e719c4115f4dbba2a93-p_e.jpg,False,True,False,False,False,False,False,33.671707,{'is_FSBA': True},1564.0,-112.01209,sqft,4620.0,,,500000.0,,500000.0,,,False,AZ,3244 E Hononegh Dr,442100.0,4121524000,,,85050,7991909
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bf5c2900d8abf9e08f674b2d13f8115a-p_e.jpg,False,True,False,False,False,False,False,33.671703,{'is_FSBA': True},1564.0,-112.012505,sqft,4620.0,,,487500.0,,487500.0,,,False,AZ,3232 E Hononegh Dr,416000.0,586825000,,,85050,7991906
2.0,3.0,Glendale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/da6c6dbcb8243c14ff1c27fd7ff78e4f-p_e.jpg,False,True,False,False,False,False,False,33.65427,{'is_FSBA': True},2080.0,-112.15903,acres,0.376078971533517,,,450000.0,,450000.0,,,False,AZ,18449 N 46th Ave,388700.0,2186887000,,,85308,7949094
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1ee71a0923b1004ec15d86df9f394ea6-p_e.jpg,False,True,False,False,False,False,False,33.630615,{'is_FSBA': True},1422.0,-112.009766,sqft,3850.0,,,470000.0,,470000.0,,,False,AZ,3324 E Tierra Buena Ln,377100.0,6076858000,,,85032,54587497
2.0,3.0,Phoenix,USA,USD,1738224000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fa17326827156befaf6e59db1f935d15-p_e.jpg,False,True,False,False,False,False,False,33.650555,{'is_FSBA': True},1675.0,-111.989334,sqft,7785.0,,,473788.0,-26080,473788.0,"$26,080 (Jan 30)",,False,AZ,4257 E Marino Dr,363600.0,9488244000,,,85032,8017738
2.0,3.0,Phoenix,USA,USD,1733731200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/64f7830d2d322fb4a6336eab9728ed50-p_e.jpg,False,True,False,False,False,False,False,33.607918,{'is_FSBA': True},1902.0,-112.069145,acres,0.3001606978879706,,,495000.0,-5000,495000.0,"$5,000 (Dec 9)",3054,False,AZ,249 E Joan D Arc Ave,471600.0,12499099000,,488600,85022,7783368
2.0,3.0,Phoenix,USA,USD,1738483200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a59964ec9ac1e90b5f68a9b9c9c91496-p_e.jpg,False,True,False,False,False,False,False,33.47593,{'is_FSBA': True},1231.0,-112.040115,sqft,5494.0,,,499000.0,-23000,499000.0,"$23,000 (Feb 2)",,False,AZ,1922 E Yale St,325500.0,10178202000,,,85006,52424274
2.0,3.0,Phoenix,USA,USD,1739347200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/52a6b6c39adf0db00d84c2dbc57d8c7e-p_e.jpg,False,True,False,False,False,False,False,33.71604,"{'is_FSBA': True, 'is_openHouse': True}",1480.0,-112.20199,sqft,7000.0,Sat. 1-4pm,"{'open_house_showing': [{'open_house_end': 1739664000000, 'open_house_start': 1739653200000}, {'open_house_end': 1739750400000, 'open_house_start': 1739739600000}]}",485000.0,-14000,485000.0,"$14,000 (Feb 12)",,False,AZ,6613 W Avenida Del Rey,369600.0,1730993000,,,85083,7925789
2.0,3.0,Phoenix,USA,USD,1738310400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8294a70c4e90153456ec1fa218bf0fc6-p_e.jpg,False,True,False,False,False,False,False,33.728508,{'is_FSBA': True},1845.0,-112.20259,sqft,6122.0,,,459000.0,-5900,459000.0,"$5,900 (Jan 31)",2440,False,AZ,6618 W Maya Way,424000.0,7834392000,,458400,85083,55262425
2.0,3.0,Phoenix,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6c6100c65e91c273c37cf62614fa5326-p_e.jpg,False,True,False,False,False,False,False,33.693188,{'is_FSBA': True},1608.0,-112.12286,sqft,6557.0,,,465000.0,,465000.0,,,False,AZ,22667 N 30th Ave,375300.0,1376309000,,,85027,7932899
