bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,4.0,Chandler,USA,USD,1737619200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d6f5c2e07a5c5a07fa1dcdeca4b204f1-p_e.jpg,False,True,False,False,False,False,False,33.344273,{'is_FSBA': True},1441.0,-111.84802,sqft,6857.0,,,452000.0,-5000,452000.0,"$5,000 (Jan 23)",2612,False,AZ,320 W Nopal Pl,374000.0,13193066000,,451000,85225,8177197
2.0,2.0,Sun Lakes,USA,USD,1737792000000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0f8a8412a182b773726ca9635e884efa-p_e.jpg,False,True,False,False,False,False,False,33.23126,"{'is_FSBA': True, 'is_openHouse': True}",1566.0,-111.8594,sqft,6684.0,Sat. 11am-2pm,"{'open_house_showing': [{'open_house_end': 1739656800000, 'open_house_start': 1739646000000}]}",464900.0,-10000,464900.0,"$10,000 (Jan 25)",,False,AZ,10346 E Cherrywood Ct,412300.0,22347394000,,,85248,71488824
3.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5bf3561d121f9dbb54a0285c9a15cef5-p_e.jpg,False,True,False,False,False,False,False,33.336838,{'is_FSBA': True},1661.0,-111.83145,sqft,3913.0,,,460000.0,,460000.0,,,False,AZ,2115 N San Vincente Dr,378000.0,4204039000,,,85225,52430787
2.0,2.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f759117e554446bb084139aa2bc38fe7-p_e.jpg,False,True,False,False,False,False,False,33.30132,{'is_FSBA': True},1100.0,-111.93172,sqft,3581.0,,,450000.0,,450000.0,,,False,AZ,5210 W Jupiter Way N,310800.0,3441883000,,,85226,8166316
2.0,3.0,Sun Lakes,USA,USD,1738137600000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7710048b06b7f42d6fc1a4e3afa838f6-p_e.jpg,False,True,False,False,False,False,False,33.219345,{'is_FSBA': True},1810.0,-111.86201,sqft,7536.0,,,459900.0,-4600,459900.0,"$4,600 (Jan 29)",,False,AZ,10209 E Coopers Hawk Dr,421500.0,10709893000,,,85248,8214497
2.0,3.0,Chandler,USA,USD,1738310400000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/21b83f78cf5eb52c52adf73a1d4cf872-p_e.jpg,False,True,False,False,False,False,False,33.20572,{'is_FSBA': True},1680.0,-111.78761,sqft,6500.0,,,479000.0,-4000,479000.0,"$4,000 (Jan 31)",,False,AZ,3059 E Hazeltine Way,421100.0,4002354000,,,85249,61630667
3.0,3.0,Chandler,USA,USD,1738828800000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8fbe45a61d26a06efb522133ffb89c4f-p_e.jpg,False,True,False,False,False,False,False,33.336117,{'is_FSBA': True},2080.0,-111.84814,sqft,4580.0,,,495990.0,-5,495990.0,$5 (Feb 6),,False,AZ,2049 N Arbor Ln,421200.0,2370464000,,,85225,62733213
3.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/124c8c090aea35a2333d015d065b4101-p_e.jpg,False,True,False,False,False,False,False,33.2545,{'is_FSBA': True},1680.0,-111.88319,sqft,1582.0,,,485000.0,,485000.0,,,False,AZ,2477 W Market Pl UNIT 55,385200.0,655151000,Unit 55,,85248,157727784
2.0,2.0,Sun Lakes,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/120712ebf5abe223be762f4924971a2f-p_e.jpg,False,True,False,False,False,False,False,33.220127,{'is_FSBA': True},1566.0,-111.87174,sqft,5040.0,,,475000.0,,475000.0,,,False,AZ,9746 E Coopers Hawk Dr,394700.0,589958000,,,85248,62733622
3.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/2fb462bc561f66142ab01dcc8f6aa40c-p_e.jpg,False,True,False,False,True,False,False,33.32553,{'is_FSBA': True},1968.0,-111.8405,sqft,714.0,,,495000.0,,495000.0,,,False,AZ,1255 N Arizona Ave UNIT 1276,388000.0,3617603000,Unit 1276,,85225,306424518
2.0,3.0,Chandler,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/08d92af1165ac15471d5fff479bb04ef-p_e.jpg,False,True,False,False,False,False,False,33.218884,{'is_FSBA': True},1667.0,-111.761894,sqft,7710.0,,,465000.0,,465000.0,,2231,False,AZ,6031 S Agate Pl,409700.0,3613660000,,462300,85249,59257961
