bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,group_type,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,price,priceChange,priceForHDP,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zipcode,zpid
3.0,3.0,Erie,USA,USD,,-1,,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/dc6a6e1d649695c030cbcfc266981795-p_e.jpg,False,True,False,False,False,False,False,40.04537,{'is_FSBA': True},1368.0,-105.05802,sqft,1637.0,,480000.0,,480000.0,,,,False,CO,257 Jackson Dr,447700.0,263760000,,80516,109686115
3.0,2.0,Erie,USA,USD,1715929200000,-1,BUILDER_COMMUNITY,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8e6997321bca8bb667d71d268bdd2589-p_e.jpg,False,True,False,True,False,False,False,40.041683,{'is_newHome': True},1438.0,-105.02737,,,BUILDER_PLAN,494900.0,10000,494900.0,+,39332,2574,False,CO,"Randem Plan, Erie Highlands",,990695000,# E3B9ZR,80516,2065796912
