bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,4.0,North Saint Paul,USA,USD,1730185200000,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3f4fe62d96e258026aed48c55e5bb3c2-p_e.jpg,False,True,False,False,False,False,False,45.007626,{'is_FSBA': True},3538.0,-93.014244,acres,0.32,499000.0,-10900,499000.0,,3315,False,MN,2211 Jennifer Ct,445700.0,11368784000,490400,55109,2072679
3.0,4.0,North Saint Paul,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/049a377b77fe81fd53425f187aa847ac-p_e.jpg,False,True,False,False,False,False,False,45.02062,{'is_FSBA': True},1964.0,-93.00767,acres,0.25,450000.0,,450000.0,,,False,MN,2184 17th Ave E,378100.0,2898085000,,55109,2072207
