bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
2.0,2.0,Lafayette,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cb2b5836ce7a1b30e9913ccf8c1982cc-p_e.jpg,True,True,False,False,False,False,False,False,40.006054,{},1062.0,-105.10871,2500.0,,2500.0,,2032,False,CO,1504 Harvest Dr,576876.0,277091000,,511200,80026,71347131
2.0,3.0,Lafayette,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b6d3f85328e4f9191def9c3f654c117a-p_e.jpg,True,True,False,False,False,False,False,False,40.010296,{},1320.0,-105.091675,2700.0,,2700.0,,2418,False,CO,203 Summit Cir,555700.0,442775000,,577300,80026,13225943
1.0,2.0,Lafayette,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/493c4bb7bcc70ef5baa32ac1ae485289-p_e.jpg,True,True,False,False,False,False,False,False,39.999424,{},1112.0,-105.086975,2450.0,,2450.0,,2954,False,CO,311 W Geneseo St,519600.0,801388000,,771600,80026,13191437
1.0,2.0,Lafayette,USA,USD,1738224000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69f1f57a0ff3daee99843a0ff68e3eae-p_e.jpg,True,True,False,False,False,False,False,False,39.989,{},1230.0,-105.10007,2175.0,-20,2175.0,$20 (Jan 30),2084,False,CO,1001 Milo Cir UNIT B,312200.0,3121371000,Unit B,347700,80026,13235922
