bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
3.0,4.0,Scottsdale,USA,USD,1738137600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/72cb58f7786b721cff7ddf820035565b-p_e.jpg,True,True,False,False,False,False,False,False,33.635548,{},2595.0,-111.9716,10995.0,-3405,10995.0,"$3,405 (Jan 29)",4755,False,AZ,16407 N 50th St,771100.0,13774497000,,905400,85254,8020638
3.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/17dfcd42f519524d2402dc4f6df51f4e-p_e.jpg,True,True,False,False,False,False,False,False,33.590706,{},3076.0,-111.79652,5650.0,,5650.0,,4895,False,AZ,11517 N 131st Way,963000.0,1442158000,,1151200,85259,8057229
2.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/af0b1e232ed28b186d596e1929c8b0e2-p_e.jpg,True,True,False,False,False,False,False,False,33.51039,{},2029.0,-111.89705,3880.0,,3880.0,,3479,False,AZ,8520 E Pasadena Ave,682700.0,2112378000,,884800,85250,7849512
4.0,4.0,Scottsdale,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c18e3b211a669198d854c0f1986f4335-p_e.jpg,True,True,False,False,False,False,False,False,33.749386,{},3012.0,-111.74728,6000.0,-500,6000.0,$500 (Feb 11),5750,False,AZ,29103 N 154th St,847600.0,602173000,,1076400,85262,67758085
2.0,2.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f12664c336379f454ca5e5245f7249bd-p_e.jpg,True,True,False,False,False,False,False,False,33.57326,{},1749.0,-111.85404,3495.0,,3495.0,,3795,False,AZ,9499 N 105th St,555600.0,1503242000,,653700,85258,8054253
2.0,3.0,Scottsdale,USA,USD,1738051200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8df15d2d28b15f0d25c7ae01f4db2f85-p_e.jpg,True,True,False,False,False,False,False,False,33.47249,{},1455.0,-111.9108,3200.0,-100,3200.0,$100 (Jan 28),2918,False,AZ,7907 E Oak St,507000.0,3779135000,,661700,85257,7578422
3.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b568b8a3445c0f39538dce48e5a7beb1-p_e.jpg,True,True,False,False,False,False,False,False,33.628063,{},2347.0,-111.94596,3100.0,,3100.0,,3999,False,AZ,6248 E Waltann Ln,660100.0,655839000,,871300,85254,92348216
2.0,2.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2507a5c1bc96b11f3e6186b548484f1c-p_e.jpg,True,True,False,False,False,False,False,False,33.492542,{},1428.0,-111.89665,2995.0,,2995.0,,2761,False,AZ,3803 N 85th Pl,662000.0,428687000,,849100,85251,7576144
3.0,3.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5e56e3df5e94aec1cf0465f2306a01fb-p_e.jpg,True,True,False,False,False,False,False,False,33.59412,{},2298.0,-111.83807,3249.0,,3249.0,,3461,False,AZ,11884 N 112th Way,595300.0,601636000,,750200,85259,8051001
3.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/33cf9da961d5cadb5b963afeaa62c844-p_e.jpg,True,True,False,False,False,False,False,False,33.68032,{},2579.0,-111.92312,5900.0,,5900.0,,4540,False,AZ,7308 E Whistling Wind Way,917600.0,3441401000,,1077100,85255,7986366
2.0,3.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d26124f46f6ed556121388f7bcd9eba8-p_e.jpg,True,True,False,False,False,False,False,False,33.71783,{},2494.0,-111.83231,5500.0,,5500.0,,5538,False,AZ,11554 E Desert Willow Dr,753800.0,4285354000,,947100,85255,8063440
2.0,4.0,Scottsdale,USA,USD,1738656000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/23c5189a0d092d064fb10308d71a2aa9-p_e.jpg,True,True,False,False,False,False,False,False,33.63198,{},2220.0,-111.96818,6000.0,500,6000.0,,4045,False,AZ,5216 E Monte Cristo Ave,745100.0,1524422000,,880500,85254,8021512
2.0,4.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a735adee84d8560651174ba9a33e497f-p_e.jpg,True,True,False,False,False,False,False,False,33.62844,{},2272.0,-111.96399,4000.0,,4000.0,,4495,False,AZ,15617 N 54th Pl,725100.0,3587864000,,843800,85254,8021420
3.0,5.0,Scottsdale,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eaf05b046ec20b09fdf534984bcf5e33-p_e.jpg,True,True,False,False,False,False,False,False,33.7036,{},2945.0,-111.91288,6395.0,400,6395.0,,4789,False,AZ,23927 N 77th Way,947600.0,1367794000,,1190000,85255,55267053
3.0,3.0,Scottsdale,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/762f8c2bd9d3f98ae6eb70b71c404f92-p_e.jpg,True,True,False,False,False,False,False,False,33.738853,{},2836.0,-111.84318,5000.0,,5000.0,,4583,False,AZ,11056 E Oberlin Way,855100.0,12297790000,,1010700,85262,8038706
3.0,4.0,Scottsdale,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d5e06964842f3dc75e0f5ba1bb012f7-p_e.jpg,True,True,False,False,False,False,False,False,33.711384,{},3200.0,-111.90617,7500.0,-500,7500.0,$500 (Jan 31),7776,False,AZ,8042 E Whispering Wind Dr,1137300.0,2545664000,,1533000,85255,7982284
2.0,4.0,Scottsdale,USA,USD,1738742400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0eec523f942347358978e5a24a8a2cf2-p_e.jpg,True,True,False,False,False,False,False,False,33.471428,{},1676.0,-111.894646,3600.0,-100,3600.0,$100 (Feb 5),3551,False,AZ,8717 E Monte Vista Rd,540700.0,7574880000,,637700,85257,7582767
