bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
1.0,2.0,Loveland,USA,USD,,65,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97cd059e442bed503a4a417df911541d-p_e.jpg,True,True,False,False,False,False,False,False,40.410133,{},900.0,-105.049545,1900.0,,1900.0,,1768,False,CO,1636 Cheyenne Ave,509600.0,5629485000,,,611100,80538,13859553
3.0,3.0,Loveland,USA,USD,,4,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5cc40a316a8e10f814693c284051e96d-p_e.jpg,False,True,False,False,False,False,False,False,40.44082,{},2422.0,-105.09709,2900.0,,2900.0,,2580,False,CO,4715 Laporte Ave,510200.0,418049000,,1,505200,80538,96109577
3.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d2b9a28537b2e575227b363bc728ec40-p_e.jpg,False,True,False,False,False,False,False,False,40.378735,{},2118.0,-105.109924,2800.0,,2800.0,,2357,False,CO,2260 S Del Norte Dr,480400.0,229925000,,,484500,80537,13890685
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/15c217bd5af8d7f8f136f0f6ddbc3037-p_e.jpg,False,True,False,False,False,False,False,False,40.372105,{},1253.0,-105.09612,2450.0,,2450.0,,2496,False,CO,1327 22nd St SW,398700.0,1268241000,,,408700,80537,13891875
1.0,3.0,Loveland,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/84171ae0372132cf1a334986c975b4ab-p_e.jpg,False,True,False,False,False,False,False,False,40.402596,{},1087.0,-105.09371,2400.0,-45,2400.0,$45 (Feb 3),2303,False,CO,1006 Hahn Ct,410100.0,7663465000,,,419600,80537,13886375
4.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/652e48f82a802bb9be127f64e53c053e-p_e.jpg,False,True,False,False,False,False,False,False,40.370644,{},2349.0,-105.073586,2750.0,,2750.0,,2583,False,CO,2126 Derby Hill Dr,458200.0,3262807000,,,462200,80537,13891360
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/56d7fd4b47fe6b0152550879b8c9e996-p_e.jpg,False,True,False,False,False,False,False,False,40.52747,{},2909.0,-105.2268,4000.0,,4000.0,,3080,False,CO,8025 Wolverine Ct,917800.0,2722241000,,,1202500,80538,96082634
2.0,4.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/016a0fde003e97fb83d0af7d337d8948-p_e.jpg,False,True,False,False,False,False,False,False,40.422794,{},1768.0,-105.06237,2600.0,,2600.0,,2361,False,CO,2927 White Oak Ct,487000.0,197499000,,,498400,80538,13878355
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/04385970391cb1ae8b1388df8cb6868e-p_e.jpg,False,True,False,False,False,False,False,False,40.441963,{},1638.0,-105.08465,2250.0,,2250.0,,2225,False,CO,4874 Filbert Dr,474900.0,601661000,,,464800,80538,13898637
2.0,3.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d460c1a42eb4c49f1725b7ba844b5d5c-p_e.jpg,False,True,False,False,False,False,False,False,40.44905,{},1536.0,-105.06048,2400.0,,2400.0,,2381,False,CO,5507 Janna Dr,482100.0,2016128000,,,477900,80538,13898743
1.0,2.0,Loveland,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/af0aef8cc064f16362e7fe92fcbcde3b-p_e.jpg,False,True,False,False,False,False,False,False,40.401665,{},872.0,-105.08247,1400.0,,1400.0,,1439,False,CO,450 W 10th St,,2389877000,,,349400,80537,2113727970
