bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
2.0,2.0,Shakopee,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/228e702dbc49aeb433ed79385f336da5-p_e.jpg,True,True,False,False,False,False,False,False,44.7784,{},1422.0,-93.54903,,,1945.0,-40,1945.0,$40 (Feb 10),2138,False,MN,1705 Stone Meadow Blvd,230500.0,679323000,253300,55379,2191645
2.0,3.0,Shakopee,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1c9abbbf9441bf25cb131e25ec755808-p_e.jpg,True,True,False,False,False,False,False,False,44.78631,{},1000.0,-93.5479,sqft,3005.6400000000003,1790.0,-30,1790.0,$30 (Feb 8),1783,False,MN,1091 Van Buren St S,,3118708000,253200,55379,2077097403
2.0,3.0,Shakopee,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/acbd458af45af1688bd41e54cb96a346-p_e.jpg,True,True,False,False,False,False,False,False,44.780666,{},1721.0,-93.42206,,,2295.0,,2295.0,,2208,False,MN,7471 Devin Ln,310400.0,5105936000,325600,55379,2192425
