bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
4.0,5.0,Longmont,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6d030be672cfe1c41752c6c43eccf586-p_e.jpg,True,True,False,False,False,False,False,False,40.19959,{},3123.0,-105.09053,sqft,6664.0,3239.0,-90,3239.0,$90 (Feb 12),3291,False,CO,2237 Whistler Dr,677300.0,1938613000,,80504,82226234
4.0,4.0,Longmont,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/369e3077b67ae5fc4a6c4a60edd0596a-p_e.jpg,True,True,False,False,False,False,False,False,40.14245,{},3700.0,-105.10106,,,3150.0,-150,3150.0,$150 (Feb 11),3379,False,CO,510 Noel Ave,655800.0,1865498000,675900,80501,67148464
1.0,2.0,Longmont,USA,USD,1739001600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/304d2f4863c4660ca0ffdeeaafbfa6a9-p_e.jpg,True,True,False,False,False,False,False,False,40.18586,{},784.0,-105.09557,,,1875.0,-125,1875.0,$125 (Feb 8),,False,CO,111 Valentine Ln,,2259737000,378900,80501,434774652
3.0,2.0,Longmont,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/63768b722bbd684b81c3557c79e469d3-p_e.jpg,True,True,False,False,False,False,False,False,40.143963,{},1305.0,-105.094444,sqft,2178.0,2545.0,-55,2545.0,$55 (Jan 31),2493,False,CO,1208 Hummingbird Cir,533700.0,2385185000,476500,80501,299288925
2.0,3.0,Longmont,USA,USD,1739433600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b5540be8890cb9f7d1e1be42c4c4cafe-p_e.jpg,True,True,False,False,False,False,False,False,40.16777,{},1729.0,-105.120445,,,2800.0,-200,2800.0,$200 (Feb 13),2847,False,CO,325 Sumner St,615500.0,3832903000,603200,80501,13205748
2.0,3.0,Longmont,USA,USD,1738742400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0c0912b26c5f99152099089a2670f067-p_e.jpg,True,True,False,False,False,False,False,False,40.16936,{},1250.0,-105.10026,,,2850.0,-145,2850.0,$145 (Feb 5),2729,False,CO,605 Emery St,747100.0,1498498000,760700,80501,13200927
3.0,4.0,Longmont,USA,USD,1738310400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/95da27ccc84d2aa096ac3d5175c5a5cd-p_e.jpg,True,True,False,False,False,False,False,False,40.176067,{},2965.0,-105.07142,,,2900.0,-200,2900.0,$200 (Jan 31),3113,False,CO,1281 Trail Ridge Rd,568900.0,5900425000,572300,80504,13254246
3.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/293acde0e0e32e33790b1ee741699879-p_e.jpg,False,True,False,False,False,False,False,False,40.18572,{},2900.0,-105.132805,,,3050.0,,3050.0,,3061,False,CO,1509 Belmont Dr,533900.0,64974000,550700,80503,13221933
1.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eb9c1da87b5a230c6c1b7e61da75d910-p_e.jpg,False,True,False,False,False,False,False,False,40.184357,{},813.0,-105.09064,,,1725.0,,1725.0,,1706,False,CO,1452 Lamplighter Dr,,846314000,361600,80504,2080491525
2.0,2.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b43ca6f8a01b940ce49df33e5bfc2afb-p_e.jpg,False,True,False,False,False,False,False,False,40.20223,{},1497.0,-105.11077,,,2500.0,,2500.0,,2359,False,CO,2425 Gay St,470900.0,719795000,461100,80501,13224775
2.0,3.0,Longmont,USA,USD,1738828800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/44f027c8904880223c0f14f6a9fe2216-p_e.jpg,False,True,False,False,False,False,False,False,40.171913,{},2000.0,-105.11543,,,3750.0,-50,3750.0,$50 (Feb 6),3052,False,CO,1302 Carolina Ave,734900.0,1415192000,762700,80501,13201663
3.0,3.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/73e046ef27580f34b283ca023d5df9dd-p_e.jpg,False,True,False,False,False,False,False,False,40.184566,{},1552.0,-105.07243,,,2700.0,,2700.0,,2722,False,CO,1018 Red Oak Dr,542500.0,899722000,553900,80504,13254474
4.0,4.0,Longmont,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ed9cb9e3a49989acf0086867a1ecb968-p_e.jpg,False,True,False,False,False,False,False,False,40.17382,{},3690.0,-105.07221,,,3600.0,,3600.0,,3569,False,CO,835 Hays Cir,862500.0,1171112000,864900,80504,13225549
