bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,videoCount,zestimate,zipcode,zpid
3.0,4.0,Queen Creek,USA,USD,1739174400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4f604eda8a3a29c51d412af8ea712803-p_e.jpg,True,True,False,False,False,False,False,False,33.27743,{},2308.0,-111.67135,,,2515.0,-65,2515.0,$65 (Feb 10),2567,False,AZ,19147 E Pelican Dr,423700.0,1787530000,,475400,85142,81977299
3.0,4.0,Queen Creek,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2d52453f8e687cecb21236a483101a63-p_e.jpg,True,True,False,False,False,False,False,False,33.236897,{},2308.0,-111.598694,,,2595.0,,2595.0,,2648,False,AZ,22453 E Camina Plata,449700.0,1865229000,,519500,85142,240313140
2.0,4.0,Queen Creek,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e4032483d9159516e5cd96a0dcf7e8a5-p_e.jpg,True,True,False,False,False,False,False,False,33.2421,{},1678.0,-111.63119,,,2250.0,,2250.0,,2204,False,AZ,20840 E Via Del Palo,373100.0,2270611000,,434900,85142,59260614
2.0,3.0,Queen Creek,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bfe435323acc2e1cc46b29ce55577163-p_e.jpg,True,True,False,False,False,False,False,False,33.258114,{},1586.0,-111.62243,,,2240.0,-5,2240.0,$5 (Feb 11),2478,False,AZ,21383 E Twin Acres Dr,386500.0,3443359000,,476000,85142,81983795
2.0,4.0,Queen Creek,USA,USD,1739347200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8dd48604a6bbf07b5954a760d28710b6-p_e.jpg,True,True,False,False,False,False,False,False,33.239407,{},1708.0,-111.61778,,,2195.0,-155,2195.0,$155 (Feb 12),2225,False,AZ,21495 E Via Del Palo,385200.0,2875376000,,426200,85142,60991306
2.0,4.0,Queen Creek,USA,USD,1738828800000,34,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/016a7ca35b65a5afccb7e61fd8032ca9-p_e.jpg,True,True,False,False,False,False,False,False,33.27509,{},1793.0,-111.63424,,,2680.0,-85,2680.0,$85 (Feb 6),2594,False,AZ,19096 S 208th Pl,435300.0,2974655000,1,507400,85142,284867899
3.0,3.0,Queen Creek,USA,USD,1739088000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/95395c54c3d5d3f00e68561d2535c324-p_e.jpg,True,True,False,False,False,False,False,False,33.268326,{},2271.0,-111.636986,,,2620.0,-25,2620.0,$25 (Feb 9),2469,False,AZ,20698 E Canary Way,483300.0,4048360000,,546700,85142,157730924
3.0,4.0,Queen Creek,USA,USD,1737187200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5bab12544e22fdfba2454fc93e8c97f6-p_e.jpg,True,True,False,False,False,False,False,False,33.25559,{},1912.0,-111.58388,,,2250.0,25,2250.0,,2252,False,AZ,23150 E Camacho Rd,400700.0,3958374000,,537200,85142,338667681
2.0,3.0,Queen Creek,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8d123f2136572299841d85354b13b2b-p_e.jpg,True,True,False,False,False,False,False,False,33.262177,{},1505.0,-111.62606,,,2165.0,10,2165.0,,2178,False,AZ,21179 E Lords Way,355100.0,4325372000,,433800,85142,55277807
3.0,4.0,Queen Creek,USA,USD,1739433600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5ffb2f4eba434fca57d8197002a6f40c-p_e.jpg,True,True,False,False,False,False,False,False,33.25714,{},2306.0,-111.62385,,,2315.0,-25,2315.0,$25 (Feb 13),2332,False,AZ,21074 S 213th St,422000.0,4994787000,,496600,85142,71622857
2.0,3.0,Queen Creek,USA,USD,1738224000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/39cb86f367ac2f886a25f3d716def217-p_e.jpg,True,True,False,False,False,False,False,False,33.275578,{},1555.0,-111.63201,,,2340.0,-30,2340.0,$30 (Jan 30),2347,False,AZ,20934 E Longwood Dr,406300.0,3460588000,,475600,85142,284851486
2.0,3.0,San Tan Valley,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/59ab028e721cbc04c9cc2557439b7c21-p_e.jpg,True,True,False,False,False,False,False,False,33.19598,{},1585.0,-111.61552,,,1949.0,-46,1949.0,$46 (Feb 11),2051,False,AZ,2677 W Half Moon Cir,307341.0,3064140000,,363000,85142,63236855
2.0,3.0,Queen Creek,USA,USD,1739088000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/437ef1f355a68cef1ff8d815ac3eb075-p_e.jpg,True,True,False,False,False,False,False,False,33.23402,{},1710.0,-111.59361,,,2275.0,-25,2275.0,$25 (Feb 9),2388,False,AZ,22774 E Via De Olivos,387800.0,6467585000,,478900,85142,284854512
2.0,3.0,Queen Creek,USA,USD,1739088000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ba5d6de85b4840cd353401c178d55ca3-p_e.jpg,True,True,False,False,False,False,False,False,33.259605,{},1859.0,-111.6254,,,2220.0,25,2220.0,,2307,False,AZ,21244 E Stirrup St,398800.0,7331204000,,464000,85142,67760950
3.0,3.0,Queen Creek,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cd0b804a64cb602df5eeffc46614698e-p_e.jpg,False,True,False,False,False,False,False,False,33.277428,{},2011.0,-111.67037,,,2500.0,,2500.0,,2413,False,AZ,19163 E Pelican Dr,398700.0,735465000,,452400,85142,81975787
2.0,3.0,Queen Creek,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f2e1f6553237966154efa8cdd84ae442-p_e.jpg,False,True,False,False,False,False,False,False,33.261517,{},1370.0,-111.567635,,,2300.0,-50,2300.0,$50 (Feb 11),2243,False,AZ,408 W Evergreen Pear Ave,338917.0,1004106000,,378000,85140,185907692
2.0,3.0,Queen Creek,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f1dd6c8078cb9c4de92835c7abe47cb3-p_e.jpg,False,True,False,False,False,False,False,False,33.232155,{},1788.0,-111.59839,,,2650.0,,2650.0,,2372,False,AZ,22473 E Creekside Ln,442800.0,1184815000,,507100,85142,95170969
